"VariableName","Value","ValueLabel"
"NCAA/NAIA conference number football (IC2014)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2014)","121","Mid-Eastern Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","370","Mountain East Conference"
"NCAA/NAIA conference number football (IC2014)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2014)","153","Northeast 10 Conference"
"NCAA/NAIA conference number football (IC2014)","155","Northern Sun Intercollegiate Conference"
"NCAA/NAIA conference number football (IC2014)","192","Old Dominion Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2014)","193","Pennsylvania Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","158","Pennsylvania State Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","159","Rocky Mountain Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","160","South Atlantic Conference"
"NCAA/NAIA conference number football (IC2014)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2014)","161","Southern Intercollegiate Athletic Conf"
"NCAA/NAIA conference number football (IC2014)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2014)","163","West Virginia Intercollegiate Athletic Conf"
"NCAA/NAIA conference number football (IC2014)","342","Other"
"NCAA/NAIA conference number football (IC2014)","-2","Not applicable"
