"VariableName","Value","ValueLabel"
"FIPS state code (HD2019)","8","Colorado"
"FIPS state code (HD2019)","12","Florida"
"FIPS state code (HD2019)","13","Georgia"
"FIPS state code (HD2019)","16","Idaho"
"FIPS state code (HD2019)","17","Illinois"
"FIPS state code (HD2019)","18","Indiana"
"FIPS state code (HD2019)","19","Iowa"
"FIPS state code (HD2019)","20","Kansas"
"FIPS state code (HD2019)","21","Kentucky"
"FIPS state code (HD2019)","22","Louisiana"
"FIPS state code (HD2019)","24","Maryland"
"FIPS state code (HD2019)","25","Massachusetts"
"FIPS state code (HD2019)","26","Michigan"
"FIPS state code (HD2019)","27","Minnesota"
"FIPS state code (HD2019)","28","Mississippi"
"FIPS state code (HD2019)","29","Missouri"
"FIPS state code (HD2019)","31","Nebraska"
"FIPS state code (HD2019)","32","Nevada"
"FIPS state code (HD2019)","34","New Jersey"
"FIPS state code (HD2019)","35","New Mexico"
"FIPS state code (HD2019)","36","New York"
"FIPS state code (HD2019)","37","North Carolina"
"FIPS state code (HD2019)","39","Ohio"
"FIPS state code (HD2019)","40","Oklahoma"
"FIPS state code (HD2019)","41","Oregon"
"FIPS state code (HD2019)","42","Pennsylvania"
"FIPS state code (HD2019)","45","South Carolina"
"FIPS state code (HD2019)","47","Tennessee"
"FIPS state code (HD2019)","48","Texas"
"FIPS state code (HD2019)","49","Utah"
"FIPS state code (HD2019)","51","Virginia"
"FIPS state code (HD2019)","53","Washington"
"FIPS state code (HD2019)","54","West Virginia"
"FIPS state code (HD2019)","55","Wisconsin"
"FIPS state code (HD2019)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2019)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2019)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2019)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2019)","1","Four or more years"
"Control of institution (HD2019)","1","Public"
"Control of institution (HD2019)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2019)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2019)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2019)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2019)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2019)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2019)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2019)","111","Conference USA"
"NCAA/NAIA conference number football (IC2019)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2019)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2019)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2019)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2019)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2019)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2019)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2019)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2019)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2019)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2019)","342","Other"
"NCAA/NAIA conference number football (IC2019)","-2","Not applicable"
"FIPS state code (HD2018)","1","Alabama"
"FIPS state code (HD2018)","4","Arizona"
"FIPS state code (HD2018)","5","Arkansas"
"FIPS state code (HD2018)","6","California"
"FIPS state code (HD2018)","8","Colorado"
"FIPS state code (HD2018)","12","Florida"
"FIPS state code (HD2018)","13","Georgia"
"FIPS state code (HD2018)","16","Idaho"
"FIPS state code (HD2018)","17","Illinois"
"FIPS state code (HD2018)","18","Indiana"
"FIPS state code (HD2018)","19","Iowa"
"FIPS state code (HD2018)","20","Kansas"
"FIPS state code (HD2018)","21","Kentucky"
"FIPS state code (HD2018)","22","Louisiana"
"FIPS state code (HD2018)","24","Maryland"
"FIPS state code (HD2018)","25","Massachusetts"
"FIPS state code (HD2018)","26","Michigan"
"FIPS state code (HD2018)","27","Minnesota"
"FIPS state code (HD2018)","28","Mississippi"
"FIPS state code (HD2018)","29","Missouri"
"FIPS state code (HD2018)","31","Nebraska"
"FIPS state code (HD2018)","32","Nevada"
"FIPS state code (HD2018)","34","New Jersey"
"FIPS state code (HD2018)","35","New Mexico"
"FIPS state code (HD2018)","36","New York"
"FIPS state code (HD2018)","37","North Carolina"
"FIPS state code (HD2018)","39","Ohio"
"FIPS state code (HD2018)","40","Oklahoma"
"FIPS state code (HD2018)","41","Oregon"
"FIPS state code (HD2018)","42","Pennsylvania"
"FIPS state code (HD2018)","45","South Carolina"
"FIPS state code (HD2018)","47","Tennessee"
"FIPS state code (HD2018)","48","Texas"
"FIPS state code (HD2018)","49","Utah"
"FIPS state code (HD2018)","51","Virginia"
"FIPS state code (HD2018)","53","Washington"
"FIPS state code (HD2018)","54","West Virginia"
"FIPS state code (HD2018)","55","Wisconsin"
"FIPS state code (HD2018)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2018)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2018)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2018)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2018)","1","Four or more years"
"Control of institution (HD2018)","1","Public"
"Control of institution (HD2018)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2018)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2018)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2018)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2018)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2018)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2018)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2018)","111","Conference USA"
"NCAA/NAIA conference number football (IC2018)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2018)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2018)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2018)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2018)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2018)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2018)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2018)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2018)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2018)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2018)","342","Other"
"NCAA/NAIA conference number football (IC2018)","-2","Not applicable"
"FIPS state code (HD2017)","1","Alabama"
"FIPS state code (HD2017)","4","Arizona"
"FIPS state code (HD2017)","5","Arkansas"
"FIPS state code (HD2017)","6","California"
"FIPS state code (HD2017)","8","Colorado"
"FIPS state code (HD2017)","12","Florida"
"FIPS state code (HD2017)","13","Georgia"
"FIPS state code (HD2017)","16","Idaho"
"FIPS state code (HD2017)","17","Illinois"
"FIPS state code (HD2017)","18","Indiana"
"FIPS state code (HD2017)","19","Iowa"
"FIPS state code (HD2017)","20","Kansas"
"FIPS state code (HD2017)","21","Kentucky"
"FIPS state code (HD2017)","22","Louisiana"
"FIPS state code (HD2017)","24","Maryland"
"FIPS state code (HD2017)","25","Massachusetts"
"FIPS state code (HD2017)","26","Michigan"
"FIPS state code (HD2017)","27","Minnesota"
"FIPS state code (HD2017)","28","Mississippi"
"FIPS state code (HD2017)","29","Missouri"
"FIPS state code (HD2017)","31","Nebraska"
"FIPS state code (HD2017)","32","Nevada"
"FIPS state code (HD2017)","34","New Jersey"
"FIPS state code (HD2017)","35","New Mexico"
"FIPS state code (HD2017)","36","New York"
"FIPS state code (HD2017)","37","North Carolina"
"FIPS state code (HD2017)","39","Ohio"
"FIPS state code (HD2017)","40","Oklahoma"
"FIPS state code (HD2017)","41","Oregon"
"FIPS state code (HD2017)","42","Pennsylvania"
"FIPS state code (HD2017)","45","South Carolina"
"FIPS state code (HD2017)","47","Tennessee"
"FIPS state code (HD2017)","48","Texas"
"FIPS state code (HD2017)","49","Utah"
"FIPS state code (HD2017)","51","Virginia"
"FIPS state code (HD2017)","53","Washington"
"FIPS state code (HD2017)","54","West Virginia"
"FIPS state code (HD2017)","55","Wisconsin"
"FIPS state code (HD2017)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2017)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2017)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2017)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2017)","1","Four or more years"
"Control of institution (HD2017)","1","Public"
"Control of institution (HD2017)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2017)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2017)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2017)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2017)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2017)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2017)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2017)","111","Conference USA"
"NCAA/NAIA conference number football (IC2017)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2017)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2017)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2017)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2017)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2017)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2017)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2017)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2017)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2017)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2017)","342","Other"
"NCAA/NAIA conference number football (IC2017)","-2","Not applicable"
"FIPS state code (HD2016)","1","Alabama"
"FIPS state code (HD2016)","4","Arizona"
"FIPS state code (HD2016)","5","Arkansas"
"FIPS state code (HD2016)","6","California"
"FIPS state code (HD2016)","8","Colorado"
"FIPS state code (HD2016)","12","Florida"
"FIPS state code (HD2016)","13","Georgia"
"FIPS state code (HD2016)","16","Idaho"
"FIPS state code (HD2016)","17","Illinois"
"FIPS state code (HD2016)","18","Indiana"
"FIPS state code (HD2016)","19","Iowa"
"FIPS state code (HD2016)","20","Kansas"
"FIPS state code (HD2016)","21","Kentucky"
"FIPS state code (HD2016)","22","Louisiana"
"FIPS state code (HD2016)","24","Maryland"
"FIPS state code (HD2016)","25","Massachusetts"
"FIPS state code (HD2016)","26","Michigan"
"FIPS state code (HD2016)","27","Minnesota"
"FIPS state code (HD2016)","28","Mississippi"
"FIPS state code (HD2016)","29","Missouri"
"FIPS state code (HD2016)","31","Nebraska"
"FIPS state code (HD2016)","32","Nevada"
"FIPS state code (HD2016)","34","New Jersey"
"FIPS state code (HD2016)","35","New Mexico"
"FIPS state code (HD2016)","36","New York"
"FIPS state code (HD2016)","37","North Carolina"
"FIPS state code (HD2016)","39","Ohio"
"FIPS state code (HD2016)","40","Oklahoma"
"FIPS state code (HD2016)","41","Oregon"
"FIPS state code (HD2016)","42","Pennsylvania"
"FIPS state code (HD2016)","45","South Carolina"
"FIPS state code (HD2016)","47","Tennessee"
"FIPS state code (HD2016)","48","Texas"
"FIPS state code (HD2016)","49","Utah"
"FIPS state code (HD2016)","51","Virginia"
"FIPS state code (HD2016)","53","Washington"
"FIPS state code (HD2016)","54","West Virginia"
"FIPS state code (HD2016)","55","Wisconsin"
"FIPS state code (HD2016)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2016)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2016)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2016)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2016)","1","Four or more years"
"Control of institution (HD2016)","1","Public"
"Control of institution (HD2016)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2016)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2016)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2016)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2016)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2016)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2016)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2016)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2016)","111","Conference USA"
"NCAA/NAIA conference number football (IC2016)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2016)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2016)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2016)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2016)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2016)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2016)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2016)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2016)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2016)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2016)","342","Other"
"NCAA/NAIA conference number football (IC2016)","-2","Not applicable"
"FIPS state code (HD2015)","1","Alabama"
"FIPS state code (HD2015)","4","Arizona"
"FIPS state code (HD2015)","5","Arkansas"
"FIPS state code (HD2015)","6","California"
"FIPS state code (HD2015)","8","Colorado"
"FIPS state code (HD2015)","12","Florida"
"FIPS state code (HD2015)","13","Georgia"
"FIPS state code (HD2015)","16","Idaho"
"FIPS state code (HD2015)","17","Illinois"
"FIPS state code (HD2015)","18","Indiana"
"FIPS state code (HD2015)","19","Iowa"
"FIPS state code (HD2015)","20","Kansas"
"FIPS state code (HD2015)","21","Kentucky"
"FIPS state code (HD2015)","22","Louisiana"
"FIPS state code (HD2015)","24","Maryland"
"FIPS state code (HD2015)","25","Massachusetts"
"FIPS state code (HD2015)","26","Michigan"
"FIPS state code (HD2015)","27","Minnesota"
"FIPS state code (HD2015)","28","Mississippi"
"FIPS state code (HD2015)","29","Missouri"
"FIPS state code (HD2015)","31","Nebraska"
"FIPS state code (HD2015)","32","Nevada"
"FIPS state code (HD2015)","34","New Jersey"
"FIPS state code (HD2015)","35","New Mexico"
"FIPS state code (HD2015)","36","New York"
"FIPS state code (HD2015)","37","North Carolina"
"FIPS state code (HD2015)","39","Ohio"
"FIPS state code (HD2015)","40","Oklahoma"
"FIPS state code (HD2015)","41","Oregon"
"FIPS state code (HD2015)","42","Pennsylvania"
"FIPS state code (HD2015)","45","South Carolina"
"FIPS state code (HD2015)","47","Tennessee"
"FIPS state code (HD2015)","48","Texas"
"FIPS state code (HD2015)","49","Utah"
"FIPS state code (HD2015)","51","Virginia"
"FIPS state code (HD2015)","53","Washington"
"FIPS state code (HD2015)","54","West Virginia"
"FIPS state code (HD2015)","55","Wisconsin"
"FIPS state code (HD2015)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2015)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2015)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2015)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2015)","1","Four or more years"
"Control of institution (HD2015)","1","Public"
"Control of institution (HD2015)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2015)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2015)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2015)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2015)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2015)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2015)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2015)","111","Conference USA"
"NCAA/NAIA conference number football (IC2015)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2015)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2015)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2015)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2015)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2015)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2015)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2015)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2015)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2015)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","342","Other"
"NCAA/NAIA conference number football (IC2015)","-2","Not applicable"
"FIPS state code (HD2014)","1","Alabama"
"FIPS state code (HD2014)","4","Arizona"
"FIPS state code (HD2014)","5","Arkansas"
"FIPS state code (HD2014)","6","California"
"FIPS state code (HD2014)","8","Colorado"
"FIPS state code (HD2014)","12","Florida"
"FIPS state code (HD2014)","13","Georgia"
"FIPS state code (HD2014)","16","Idaho"
"FIPS state code (HD2014)","17","Illinois"
"FIPS state code (HD2014)","18","Indiana"
"FIPS state code (HD2014)","19","Iowa"
"FIPS state code (HD2014)","20","Kansas"
"FIPS state code (HD2014)","21","Kentucky"
"FIPS state code (HD2014)","22","Louisiana"
"FIPS state code (HD2014)","24","Maryland"
"FIPS state code (HD2014)","25","Massachusetts"
"FIPS state code (HD2014)","26","Michigan"
"FIPS state code (HD2014)","27","Minnesota"
"FIPS state code (HD2014)","28","Mississippi"
"FIPS state code (HD2014)","29","Missouri"
"FIPS state code (HD2014)","31","Nebraska"
"FIPS state code (HD2014)","32","Nevada"
"FIPS state code (HD2014)","34","New Jersey"
"FIPS state code (HD2014)","35","New Mexico"
"FIPS state code (HD2014)","36","New York"
"FIPS state code (HD2014)","37","North Carolina"
"FIPS state code (HD2014)","39","Ohio"
"FIPS state code (HD2014)","40","Oklahoma"
"FIPS state code (HD2014)","41","Oregon"
"FIPS state code (HD2014)","42","Pennsylvania"
"FIPS state code (HD2014)","45","South Carolina"
"FIPS state code (HD2014)","47","Tennessee"
"FIPS state code (HD2014)","48","Texas"
"FIPS state code (HD2014)","49","Utah"
"FIPS state code (HD2014)","51","Virginia"
"FIPS state code (HD2014)","53","Washington"
"FIPS state code (HD2014)","54","West Virginia"
"FIPS state code (HD2014)","55","Wisconsin"
"FIPS state code (HD2014)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2014)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2014)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2014)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2014)","1","Four or more years"
"Control of institution (HD2014)","1","Public"
"Control of institution (HD2014)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2014)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2014)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2014)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2014)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2014)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2014)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2014)","111","Conference USA"
"NCAA/NAIA conference number football (IC2014)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2014)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2014)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2014)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2014)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2014)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2014)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2014)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2014)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2014)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2014)","342","Other"
"NCAA/NAIA conference number football (IC2014)","-2","Not applicable"
"FIPS state code (HD2013)","1","Alabama"
"FIPS state code (HD2013)","4","Arizona"
"FIPS state code (HD2013)","5","Arkansas"
"FIPS state code (HD2013)","6","California"
"FIPS state code (HD2013)","8","Colorado"
"FIPS state code (HD2013)","12","Florida"
"FIPS state code (HD2013)","13","Georgia"
"FIPS state code (HD2013)","16","Idaho"
"FIPS state code (HD2013)","17","Illinois"
"FIPS state code (HD2013)","18","Indiana"
"FIPS state code (HD2013)","19","Iowa"
"FIPS state code (HD2013)","20","Kansas"
"FIPS state code (HD2013)","21","Kentucky"
"FIPS state code (HD2013)","22","Louisiana"
"FIPS state code (HD2013)","24","Maryland"
"FIPS state code (HD2013)","25","Massachusetts"
"FIPS state code (HD2013)","26","Michigan"
"FIPS state code (HD2013)","27","Minnesota"
"FIPS state code (HD2013)","28","Mississippi"
"FIPS state code (HD2013)","29","Missouri"
"FIPS state code (HD2013)","31","Nebraska"
"FIPS state code (HD2013)","32","Nevada"
"FIPS state code (HD2013)","34","New Jersey"
"FIPS state code (HD2013)","35","New Mexico"
"FIPS state code (HD2013)","36","New York"
"FIPS state code (HD2013)","37","North Carolina"
"FIPS state code (HD2013)","39","Ohio"
"FIPS state code (HD2013)","40","Oklahoma"
"FIPS state code (HD2013)","41","Oregon"
"FIPS state code (HD2013)","42","Pennsylvania"
"FIPS state code (HD2013)","45","South Carolina"
"FIPS state code (HD2013)","47","Tennessee"
"FIPS state code (HD2013)","48","Texas"
"FIPS state code (HD2013)","49","Utah"
"FIPS state code (HD2013)","51","Virginia"
"FIPS state code (HD2013)","53","Washington"
"FIPS state code (HD2013)","54","West Virginia"
"FIPS state code (HD2013)","55","Wisconsin"
"FIPS state code (HD2013)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2013)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2013)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2013)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2013)","1","Four or more years"
"Control of institution (HD2013)","1","Public"
"Control of institution (HD2013)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2013)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2013)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2013)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2013)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2013)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2013)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2013)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2013)","111","Conference USA"
"NCAA/NAIA conference number football (IC2013)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2013)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2013)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2013)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2013)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2013)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2013)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2013)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2013)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2013)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2013)","342","Other"
"NCAA/NAIA conference number football (IC2013)","-2","Not applicable"
"FIPS state code (HD2012)","1","Alabama"
"FIPS state code (HD2012)","4","Arizona"
"FIPS state code (HD2012)","5","Arkansas"
"FIPS state code (HD2012)","6","California"
"FIPS state code (HD2012)","8","Colorado"
"FIPS state code (HD2012)","12","Florida"
"FIPS state code (HD2012)","13","Georgia"
"FIPS state code (HD2012)","16","Idaho"
"FIPS state code (HD2012)","17","Illinois"
"FIPS state code (HD2012)","18","Indiana"
