"VariableName","Value","ValueLabel"
"FIPS state code (HD2015)","16","Idaho"
"FIPS state code (HD2015)","17","Illinois"
"FIPS state code (HD2015)","18","Indiana"
"FIPS state code (HD2015)","19","Iowa"
"FIPS state code (HD2015)","20","Kansas"
"FIPS state code (HD2015)","21","Kentucky"
"FIPS state code (HD2015)","22","Louisiana"
"FIPS state code (HD2015)","24","Maryland"
"FIPS state code (HD2015)","25","Massachusetts"
"FIPS state code (HD2015)","26","Michigan"
"FIPS state code (HD2015)","27","Minnesota"
"FIPS state code (HD2015)","28","Mississippi"
"FIPS state code (HD2015)","29","Missouri"
"FIPS state code (HD2015)","31","Nebraska"
"FIPS state code (HD2015)","32","Nevada"
"FIPS state code (HD2015)","33","New Hampshire"
"FIPS state code (HD2015)","34","New Jersey"
"FIPS state code (HD2015)","35","New Mexico"
"FIPS state code (HD2015)","36","New York"
"FIPS state code (HD2015)","37","North Carolina"
"FIPS state code (HD2015)","38","North Dakota"
"FIPS state code (HD2015)","39","Ohio"
"FIPS state code (HD2015)","40","Oklahoma"
"FIPS state code (HD2015)","41","Oregon"
"FIPS state code (HD2015)","42","Pennsylvania"
"FIPS state code (HD2015)","45","South Carolina"
"FIPS state code (HD2015)","46","South Dakota"
"FIPS state code (HD2015)","47","Tennessee"
"FIPS state code (HD2015)","48","Texas"
"FIPS state code (HD2015)","49","Utah"
"FIPS state code (HD2015)","51","Virginia"
"FIPS state code (HD2015)","53","Washington"
"FIPS state code (HD2015)","54","West Virginia"
"FIPS state code (HD2015)","55","Wisconsin"
"FIPS state code (HD2015)","56","Wyoming"
"Sector of institution (HD2015)","1","Public, 4-year or above"
"Sector of institution (HD2015)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2015)","3","Private for-profit, 4-year or above"
"NCAA/NAIA conference number football (IC2015)","372","American Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2015)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2015)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2015)","140","Central Intercollegiate Athletic Assoc"
"NCAA/NAIA conference number football (IC2015)","111","Conference USA"
"NCAA/NAIA conference number football (IC2015)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2015)","141","Division II Independents"
"NCAA/NAIA conference number football (IC2015)","367","Great American Conference"
"NCAA/NAIA conference number football (IC2015)","144","Great Lakes Intercollegiate Ath Conf"
"NCAA/NAIA conference number football (IC2015)","145","Great Lakes Valley Conference"
"NCAA/NAIA conference number football (IC2015)","213","Great Northwest Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","146","Gulf South Conference"
"NCAA/NAIA conference number football (IC2015)","308","Independent Great Lakes Region"
"NCAA/NAIA conference number football (IC2015)","147","Lone Star Conference"
"NCAA/NAIA conference number football (IC2015)","148","Mid-America Intercollegiate Ath Assoc"
"NCAA/NAIA conference number football (IC2015)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2015)","121","Mid-Eastern Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","370","Mountain East Conference"
"NCAA/NAIA conference number football (IC2015)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2015)","187","New Jersey Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","153","Northeast 10 Conference"
"NCAA/NAIA conference number football (IC2015)","155","Northern Sun Intercollegiate Conference"
"NCAA/NAIA conference number football (IC2015)","192","Old Dominion Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2015)","193","Pennsylvania Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","158","Pennsylvania State Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","159","Rocky Mountain Athletic Conference"
"NCAA/NAIA conference number football (IC2015)","160","South Atlantic Conference"
"NCAA/NAIA conference number football (IC2015)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2015)","161","Southern Intercollegiate Athletic Conf"
"NCAA/NAIA conference number football (IC2015)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2015)","163","West Virginia Intercollegiate Athletic Conf"
"NCAA/NAIA conference number football (IC2015)","342","Other"
"NCAA/NAIA conference number football (IC2015)","-2","Not applicable"
